,0
514,4
515,6
516,5
517,2
518,7
519,0
520,7
521,6
522,4
523,0
524,4
525,1
526,7
527,9
528,5
529,8
530,1
531,7
532,3
533,0
534,8
535,1
536,6
537,0
538,3
539,5
540,0
541,6
542,9
543,8
544,3
545,1
546,4
547,1
548,5
549,7
550,4
551,9
552,4
553,8
554,3
555,3
556,2
557,0
558,5
559,9
560,8
561,2
562,5
563,5
564,2
565,0
566,2
567,1
568,4
569,0
570,3
571,0
572,4
573,4
574,3
575,3
576,2
577,0
578,9
579,1
580,2
581,7
582,9
583,5
584,4
585,4
586,1
587,6
588,5
589,0
590,5
591,6
592,4
593,4
594,6
595,9
596,2
597,0
598,8
599,9
600,1
601,4
602,6
603,4
604,6
605,9
606,9
607,0
608,7
609,9
610,8
611,3
612,1
613,5
614,5
615,4
616,8
617,7
618,8
619,6
620,1
621,0
622,8
623,5
624,8
625,9
626,5
627,7
628,1
629,1
630,9
631,6
632,2
633,3
634,1
635,9
636,9
637,4
638,6
639,6
640,0
641,8
642,6
643,0
644,1
645,9
646,1
647,1
648,1
649,6
650,8
651,5
652,4
653,0
654,5
655,3
656,8
657,5
658,1
659,8
660,8
661,4
662,4
663,9
664,1
665,6
666,4
667,1
668,2
669,1
670,6
671,8
672,1
673,3
674,4
675,9
676,5
677,9
678,7
679,4
680,9
681,0
682,7
683,2
684,0
685,9
686,3
687,0
688,3
689,0
690,5
691,1
692,6
693,5
694,7
695,9
696,0
697,4
698,9
699,7
700,7
701,1
702,2
703,1
704,0
705,6
706,3
707,2
708,9
709,6
710,5
711,1
712,9
713,4
714,0
715,3
716,6
717,3
718,5
719,3
720,5
721,8
722,8
723,2
724,7
725,1
726,1
727,3
728,9
729,9
730,1
731,2
732,9
733,9
734,8
735,9
736,8
737,3
738,3
739,5
740,9
741,5
742,8
743,9
744,6
745,4
746,1
747,5
748,8
749,4
750,4
751,7
752,3
753,9
754,6
755,0
756,2
757,9
758,1
759,6
760,3
761,2
762,0
763,1
764,9
765,8
766,0
767,9
768,2
769,8
770,6
771,5
772,2
773,4
774,1
775,3
776,6
777,9
778,4
779,0
780,0
781,4
782,6
783,2
784,4
785,2
786,6
787,6
788,2
789,4
790,7
791,7
792,8
793,5
794,6
795,4
796,7
797,4
798,2
799,3
800,9
801,1
802,3
803,6
804,3
805,1
806,2
807,9
808,2
809,6
810,8
811,1
812,2
813,7
814,5
815,8
816,7
817,9
818,1
819,8
820,8
821,4
822,0
823,3
824,3
825,2
826,2
827,0
828,6
829,8
830,4
831,5
832,4
833,2
834,2
835,7
836,8
837,0
838,5
839,6
840,4
841,3
842,1
843,0
844,0
845,1
846,2
847,9
848,5
849,2
850,5
851,9
852,4
853,4
854,9
855,4
856,9
857,5
858,6
859,3
860,3
861,1
862,3
863,2
864,4
865,0
866,1
867,8
868,7
869,7
870,2
871,3
872,4
873,4
874,9
875,0
876,4
877,1
878,0
879,8
880,5
881,8
882,0
883,8
884,4
885,0
886,5
887,2
888,6
889,3
890,9
891,7
892,6
893,1
894,3
895,3
896,6
897,7
898,5
899,7
900,2
901,6
902,5
903,6
904,0
905,8
906,9
907,0
908,2
909,5
910,6
911,7
912,8
913,7
914,7
915,0
916,3
917,0
918,5
919,9
920,6
921,5
922,8
923,6
924,7
925,7
926,8
927,6
928,0
929,1
930,2
931,9
932,6
933,9
934,6
935,8
936,6
937,4
938,1
939,7
940,0
941,2
942,9
943,0
944,9
945,7
946,5
947,7
948,5
949,4
950,7
951,4
952,1
953,0
954,7
955,7
956,8
957,7
958,0
959,2
960,1
961,7
962,9
963,5
964,7
965,7
966,7
967,2
968,3
969,0
970,3
971,5
972,0
973,5
974,8
975,9
976,7
977,0
978,1
979,0
980,1
981,0
982,3
983,1
984,6
985,2
986,2
987,1
988,8
989,4
990,8
991,0
992,7
993,9
994,6
995,5
996,9
997,2
998,2
999,4
1000,4
1001,3
1002,8
1003,6
1004,4
1005,0
1006,7
1007,9
1008,4
1009,2
1010,0
1011,8
1012,9
1013,5
1014,0
1015,1
1016,7
1017,7
1018,3
1019,7
1020,0
1021,1
1022,2
1023,4
1024,1
1025,5
1026,2
1027,5
1028,1
1029,4
1030,4
1031,8
1032,4
1033,0
1034,8
1035,0
1036,2
1037,6
1038,7
1039,3
1040,9
1041,7
1042,5
1043,3
1044,5
1045,3
1046,2
1047,0
1048,1
1049,2
1050,9
1051,9
1052,1
1053,8
1054,4
1055,3
1056,9
1057,3
1058,6
1059,7
1060,6
1061,4
1062,4
1063,9
1064,4
1065,1
1066,2
1067,1
1068,4
1069,9
1070,0
1071,6
1072,5
1073,8
1074,6
1075,2
1076,1
1077,4
1078,7
1079,8
1080,5
1081,0
1082,5
1083,5
1084,1
1085,1
1086,1
1087,1
1088,6
1089,6
1090,1
1091,8
1092,1
1093,2
1094,1
1095,8
1096,6
1097,7
1098,7
1099,0
1100,9
1101,0
1102,7
1103,0
1104,2
1105,1
1106,8
1107,0
1108,6
1109,7
1110,3
1111,8
1112,8
1113,2
1114,5
1115,2
1116,2
1117,4
1118,6
1119,7
1120,5
1121,4
1122,8
1123,6
1124,1
1125,8
1126,8
1127,6
1128,5
1129,3
1130,0
1131,9
1132,6
1133,3
1134,8
1135,8
1136,0
1137,0
1138,3
1139,5
1140,4
1141,4
1142,4
1143,5
1144,6
1145,6
1146,8
1147,5
1148,4
1149,0
1150,1
1151,4
1152,9
1153,3
1154,5
1155,0
1156,2
1157,8
1158,6
1159,8
1160,0
1161,2
1162,3
1163,4
1164,1
1165,5
1166,9
1167,8
1168,8
1169,5
1170,5
1171,9
1172,5
1173,6
1174,0
1175,0
1176,4
1177,8
1178,4
1179,5
1180,0
1181,0
1182,9
1183,1
1184,4
1185,8
1186,5
1187,5
1188,2
1189,8
1190,5
1191,8
1192,2
1193,7
1194,7
1195,7
1196,5
1197,7
1198,0
1199,3
1200,1
1201,4
1202,9
1203,7
1204,5
1205,2
1206,5
1207,1
1208,1
1209,6
1210,1
1211,1
1212,4
1213,6
1214,8
1215,2
1216,9
1217,2
1218,9
1219,7
1220,7
1221,7
1222,0
1223,7
1224,1
1225,2
1226,8
1227,1
1228,9
1229,5
1230,2
1231,6
1232,1
1233,2
1234,5
1235,7
1236,6
1237,8
1238,7
1239,0
1240,2
1241,4
1242,0
1243,4
1244,7
1245,5
1246,4
1247,4
1248,9
1249,0
1250,2
1251,7
1252,5
1253,6
1254,5
1255,7
1256,6
1257,6
1258,2
1259,0
1260,4
1261,2
1262,4
1263,1
1264,9
1265,1
1266,3
1267,2
1268,7
1269,7
1270,6
1271,5
1272,3
1273,8
1274,6
1275,6
1276,7
1277,4
1278,0
1279,9
1280,6
1281,6
1282,4
1283,9
1284,7
1285,3
1286,9
1287,7
1288,1
1289,3
1290,3
1291,0
1292,3
1293,9
1294,6
1295,6
1296,1
1297,3
1298,7
1299,7
1300,9
1301,1
1302,8
1303,3
1304,0
1305,1
1306,8
1307,0
1308,9
1309,7
1310,1
1311,7
1312,1
1313,4
1314,6
1315,9
1316,7
1317,4
1318,8
1319,0
1320,1
1321,6
1322,7
1323,6
1324,0
1325,7
1326,4
1327,7
1328,2
1329,3
1330,9
1331,6
1332,3
1333,6
1334,3
1335,2
1336,9
1337,6
1338,5
1339,6
1340,1
1341,7
1342,1
1343,1
1344,3
1345,1
1346,8
1347,4
1348,4
1349,2
1350,0
1351,3
1352,9
1353,2
1354,8
1355,2
1356,4
1357,4
1358,9
1359,2
1360,1
1361,3
1362,9
1363,1
1364,8
1365,3
1366,6
1367,1
1368,7
1369,9
1370,7
1371,3
1372,2
1373,5
1374,2
1375,3
1376,6
1377,7
1378,4
1379,7
1380,2
1381,3
1382,0
1383,6
1384,0
1385,7
1386,4
1387,5
1388,5
1389,4
1390,0
1391,2
1392,5
1393,9
1394,2
1395,9
1396,2
1397,4
1398,9
1399,1
1400,0
1401,2
1402,3
1403,8
1404,5
1405,1
1406,0
1407,1
1408,3
1409,9
1410,9
1411,3
1412,4
1413,3
1414,5
1415,1
1416,3
1417,1
1418,4
1419,9
1420,1
1421,1
1422,4
1423,2
1424,5
1425,2
1426,1
1427,2
1428,3
1429,2
1430,5
1431,7
1432,9
1433,9
1434,2
1435,0
1436,2
